Al,Ca,Fe,Mg,Mn,Ni,overpotential
0.112385407,0.152514679,0.368370603,0.353921755,0.006616136,0.00619142,1.779
0.068080187,0.13685216,0.484145907,0.289784068,0.007443902,0.013693775,1.7793
0.170685202,0.155470284,0.402672097,0.252659759,0.005521319,0.012991339,1.7798
0.057886519,0.142552504,0.458965432,0.319342951,0.007090887,0.014161707,1.7801
0.115200051,0.115313842,0.429842786,0.315290528,0.004811777,0.019541016,1.7804
0.037229884,0.142874572,0.458240292,0.340295557,0.007275437,0.014084258,1.7808
0.161553802,0.143321958,0.361585599,0.316290158,0.004862052,0.012386431,1.7815
0.097517807,0.133243879,0.445346755,0.303426833,0.006423836,0.01404089,1.7817
0.14725576,0.116152489,0.282989638,0.443418152,0.004512757,0.005671204,1.7831
0.122390181,0.150408538,0.401849432,0.307497652,0.006081,0.011773198,1.7847
0.104487612,0.134171052,0.439772084,0.301198111,0.006269108,0.014102034,1.7848
0.103633856,0.095484483,0.336498095,0.448120091,0.00445905,0.011804425,1.7854
0.064314545,0.131139402,0.417058515,0.373498656,0.007557212,0.00643167,1.7859
0.056200599,0.134943958,0.462270307,0.323280302,0.006621015,0.01668382,1.7867
0.218139002,0.164080982,0.364991269,0.235490134,0.004632143,0.012666469,1.787
0.056754502,0.085837021,0.370873411,0.469166841,0.005282136,0.012086088,1.787
0.121523643,0.133501909,0.469941648,0.249124431,0.005506772,0.020401596,1.787
0.122346548,0.120068654,0.498678035,0.226629902,0.004517279,0.027759582,1.787
0.06842483,0.128240533,0.44978263,0.330800277,0.0062543,0.016497431,1.788
0.063152169,0.111972248,0.46380319,0.335421828,0.005732513,0.019918053,1.7883
0.063641193,0.105163989,0.470337453,0.335068809,0.005731696,0.02005686,1.7885
0.049535079,0.134026499,0.467670527,0.325383331,0.006772067,0.016612497,1.7887
0.263277384,0.172271537,0.329149005,0.219158269,0.003786353,0.012357451,1.7888
0.058725809,0.144419965,0.449903574,0.328116074,0.007444746,0.011389833,1.7904
0.098432967,0.166522908,0.398123896,0.323424833,0.007436812,0.006058585,1.7906
0.041661395,0.141718746,0.480407466,0.32049812,0.008888766,0.006825507,1.7907
